jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Lafayette Parish,Louisiana,59.2,46.1,82.8,,,,,55.3
Orleans Parish,Louisiana,114.9,131.1,114.1,,,,,119.8
Ouachita Parish,Louisiana,56.5,31.9,,,,,,45.0
Rapides Parish,Louisiana,57.1,92.0,,,,,,65.3
St. Tammany Parish,Louisiana,50.4,53.9,,,,,,48.7
Tangipahoa Parish,Louisiana,85.9,64.9,,,,,,76.6
Anne Arundel County,Maryland,34.3,31.2,,,,,,30.0
Baltimore County,Maryland,43.2,31.3,,,,,,35.0
Charles County,Maryland,67.9,15.8,,,,,,30.6
Harford County,Maryland,40.4,29.7,,,,,,36.4
Howard County,Maryland,17.6,21.9,,,,,,13.4
Montgomery County,Maryland,15.1,12.9,11.2,,,,,11.3
Prince George's County,Maryland,28.7,22.3,15.1,,,,,20.5
St. Mary's County,Maryland,20.5,69.5,,,,,,26.1
Washington County,Maryland,79.1,111.5,,,,,,74.6
Wicomico County,Maryland,36.4,42.2,,,,,,35.4
Baltimore city,Maryland,185.6,183.2,110.7,,,,,173.5
Bristol County,Massachusetts,49.0,49.4,39.3,,,,,48.3
Essex County,Massachusetts,36.3,94.3,37.4,,,,,37.6
Hampden County,Massachusetts,50.9,79.2,67.4,,,,,56.0
Middlesex County,Massachusetts,27.8,45.5,28.1,4.3,,,,25.0
Norfolk County,Massachusetts,24.4,24.3,,,,,,20.7
Plymouth County,Massachusetts,35.1,37.0,,,,,,34.7
Suffolk County,Massachusetts,63.8,82.2,46.3,,,,,57.5
Worcester County,Massachusetts,39.9,56.5,70.9,,,,,44.5
Berrien County,Michigan,29.8,52.4,,,,,,34.0
Genesee County,Michigan,57.0,74.6,,,,,,58.5
Ingham County,Michigan,36.8,83.6,76.0,,,,,45.1
Kalamazoo County,Michigan,22.6,53.9,,,,,,25.3
Kent County,Michigan,17.6,49.1,14.7,,,,,20.3
Macomb County,Michigan,29.5,29.6,,,,,,28.4
Muskegon County,Michigan,33.0,100.0,,,,,,42.5
Oakland County,Michigan,18.6,31.1,17.9,,,,,18.6
Saginaw County,Michigan,22.5,43.6,62.7,,,,,31.3
Washtenaw County,Michigan,25.1,72.4,,,,,,28.9
Wayne County,Michigan,45.8,69.1,44.8,,,,,53.8
Anoka County,Minnesota,17.5,36.3,,,,,,18.4
Hennepin County,Minnesota,26.3,88.5,30.9,,,769.6,51.2,39.6
Olmsted County,Minnesota,33.1,95.7,,,,,,37.2
Ramsey County,Minnesota,36.7,99.3,78.5,,,470.3,,46.2
St. Louis County,Minnesota,31.0,,,,,343.3,,39.6
Hinds County,Mississippi,58.9,20.1,,,,,,29.4
Jackson County,Mississippi,56.7,62.9,,,,,,53.8
