jurisdiction,state,deaths_past_year,crude_rate_past_year,crude_rate_four_years_ago,synthetics_pct_past_year,synthetics_pct_four_years_ago,population
Baldwin County,Alabama,36,13.8,27.1,0.5,0.662,261608
Calhoun County,Alabama,27,23.2,25.9,0.407,,116427
Colbert County,Alabama,23,39.1,19.1,0.609,,58785
DeKalb County,Alabama,15,20.5,13.9,,,73122
Etowah County,Alabama,20,19.4,27.2,0.75,0.536,103207
Houston County,Alabama,18,16.5,14,,,109366
Jefferson County,Alabama,234,35.2,60.3,0.645,0.804,664744
Lauderdale County,Alabama,22,22.6,17.9,,,97502
Lee County,Alabama,10,5.3,12.4,,0.545,187847
Madison County,Alabama,54,12.8,32.5,0.63,0.767,423355
Marshall County,Alabama,13,12.7,26.5,,0.423,102156
Mobile County,Alabama,97,23.5,27.3,0.412,0.442,412339
Montgomery County,Alabama,28,12.4,21.2,0.357,0.417,225894
Morgan County,Alabama,22,17.4,21.9,0.545,0.556,126084
St. Clair County,Alabama,21,21.7,34.5,0.571,0.719,96927
Shelby County,Alabama,18,7.6,23.3,,0.642,235969
Talladega County,Alabama,12,14.7,19.9,,0.812,81375
Tuscaloosa County,Alabama,29,12,23.2,,0.527,241212
Walker County,Alabama,32,49,40.3,0.719,,65260
Anchorage Borough,Alaska,212,73.2,48.8,0.741,0.624,289600
Fairbanks North Star Borough,Alaska,22,23.2,18.8,0.455,,94951
Juneau City and Borough,Alaska,10,31.7,34.4,,,31572
Kenai Peninsula Borough,Alaska,23,37.5,25,0.435,,61259
Matanuska-Susitna Borough,Alaska,26,22.1,25.2,0.615,0.5,117613
Apache County,Arizona,12,18.5,16.8,,,64800
Cochise County,Arizona,29,23.1,27,0.517,,125773
Coconino County,Arizona,38,26.2,32.9,0.5,0.426,145161
Gila County,Arizona,18,33.3,33.6,0.778,0.611,54073
Graham County,Arizona,11,27.3,36,,0.714,40242
La Paz County,Arizona,15,88.3,,,,16992
Maricopa County,Arizona,2052,43.9,40.1,0.745,0.688,4.6731e+06
Mohave County,Arizona,104,45.9,26.2,0.433,0.526,226479
Navajo County,Arizona,23,21,30.6,,0.364,109516
Pima County,Arizona,425,39.3,45.1,0.534,0.632,1.08015e+06
Pinal County,Arizona,76,14.8,22.9,0.684,0.699,513862
Santa Cruz County,Arizona,13,25.7,31.3,,0.733,50508
Yavapai County,Arizona,58,23,31.4,0.483,0.579,252013
Yuma County,Arizona,49,22.2,28.4,0.449,0.186,220310
Benton County,Arkansas,13,4,11.6,,,321566
Craighead County,Arkansas,12,10.4,17.9,,,115852
Garland County,Arkansas,15,15,29.9,,0.433,99902
Greene County,Arkansas,10,21.3,,,,46928
Jefferson County,Arkansas,13,20.4,24.4,,,63672
Lincoln County,Arkansas,13,101,,,,12868
Pulaski County,Arkansas,103,25.7,41,0.447,0.632,401209
Saline County,Arkansas,18,13.7,24.7,,0.548,131252
Washington County,Arkansas,18,6.8,10.3,,0.5,266184
Alameda County,California,297,18,20.6,0.66,0.519,1.64906e+06
Amador County,California,10,23.8,,,,42026
Butte County,California,109,52.3,60.6,0.495,0.392,208334
Contra Costa County,California,196,16.7,21.4,0.464,0.582,1.17261e+06
Del Norte County,California,17,62.9,39.9,,,27009
El Dorado County,California,36,18.7,21.7,0.528,0.524,192823
Fresno County,California,199,19.4,19.2,0.317,0.309,1.02412e+06
Humboldt County,California,64,48.3,43,0.797,0.638,132380
Imperial County,California,29,16,7.8,0.448,0.714,181724
Kern County,California,309,33.5,54.1,0.466,0.468,922529
Kings County,California,17,11,18.3,,0.393,154913
Lake County,California,59,87.1,94.7,0.39,0.462,67764
Lassen County,California,17,60,,,,28340
Los Angeles County,California,1960,20.1,25.7,0.503,0.627,9.75718e+06
Madera County,California,22,13.3,19.5,,0.387,165432
Marin County,California,47,18.3,25.1,0.511,0.523,256400
Mendocino County,California,41,46,74.5,0.293,0.544,89175
Merced County,California,61,20.6,17.9,0.393,0.431,296774
Monterey County,California,109,25,22.8,0.422,0.14,436251
Napa County,California,10,7.5,16.9,,0.522,132727
Nevada County,California,28,27.4,40.6,0.357,0.429,102195
Orange County,California,479,15.1,30.6,0.628,0.736,3.17044e+06
Placer County,California,61,14.1,18.9,0.213,0.41,433822
Riverside County,California,578,22.8,33.5,0.453,0.476,2.52993e+06
Sacramento County,California,501,31.1,30.6,0.417,0.309,1.61123e+06
San Bernardino County,California,409,18.5,24.1,0.513,0.552,2.21428e+06
San Diego County,California,694,21,31.5,0.53,0.694,3.2988e+06
San Francisco County,California,575,69.5,78.2,0.755,0.741,827526
San Joaquin County,California,187,22.9,25.5,0.588,0.483,816108
San Luis Obispo County,California,67,23.8,39.7,0.478,0.514,281843
San Mateo County,California,74,10,17.4,0.405,0.566,742893
Santa Barbara County,California,92,20.7,29.1,0.359,0.205,444500
Santa Clara County,California,295,15.3,17.9,0.353,0.393,1.92632e+06
Santa Cruz County,California,73,27.8,36.4,0.603,0.337,262406
Shasta County,California,56,30.9,41.7,0.732,0.553,181121
Siskiyou County,California,13,30.6,40.8,0.769,,42498
Solano County,California,125,27.5,24.8,0.272,0.304,455101
Sonoma County,California,100,20.6,32,0.58,0.69,485375
Stanislaus County,California,126,22.6,29.1,0.532,0.503,556972
Sutter County,California,27,27.4,25.2,0.519,0.56,98545
Tehama County,California,24,37.2,26,0.5,,64451
Tulare County,California,82,17,17,0.415,0.568,483546
Ventura County,California,172,20.6,28.8,0.674,0.69,835427
Yolo County,California,34,15.1,15,0.588,,225251
Yuba County,California,37,42.3,32.5,0.405,0.519,87469
Adams County,Colorado,196,36.1,49.3,0.622,0.632,542973
Arapahoe County,Colorado,228,34.2,28.5,0.636,0.583,666918
Boulder County,Colorado,63,19.1,20.2,0.587,0.455,330262
Broomfield County,Colorado,10,12.8,13.3,,,78323
Denver County,Colorado,502,68.9,59,0.703,0.571,729019
Douglas County,Colorado,50,12.7,13.2,0.34,,393995
El Paso County,Colorado,199,26.4,31.5,0.407,0.416,752772
Garfield County,Colorado,12,19,20.9,,,63167
Jefferson County,Colorado,181,31.3,33.4,0.702,0.629,578533
Larimer County,Colorado,55,14.7,21.8,0.364,0.494,374574
Mesa County,Colorado,29,18,27.3,0.414,0.372,161260
Montrose County,Colorado,11,24.6,,,,44806
Pueblo County,Colorado,69,40.6,46.6,0.449,0.152,169866
Weld County,Colorado,83,22.4,27.4,0.398,0.591,369745
Fairfield County,Connecticut,132,13.8,26.8,0.659,0.809,957419
