jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Montgomery County,Maryland,13.1,18.8,17.8,,,,,13.5
Prince George's County,Maryland,34.3,22.6,23.2,,,,,22.9
Washington County,Maryland,61.1,101.3,,,,,,61.7
Wicomico County,Maryland,42.7,66.8,,,,,,44.9
Baltimore city,Maryland,205.5,201.8,108,,,,,190.9
Bristol County,Massachusetts,50.3,79.6,62.6,,,,,52.6
Essex County,Massachusetts,30.7,47.2,33.3,,,,,30.6
Hampden County,Massachusetts,45.4,101.1,76.8,,,,,56.8
Middlesex County,Massachusetts,25.3,38.7,23.9,,,,,22.4
Norfolk County,Massachusetts,28.1,20.9,,,,,,22.6
Plymouth County,Massachusetts,28,38.6,,,,,,28.5
Suffolk County,Massachusetts,64.4,95.6,48.5,,,,,61.3
Worcester County,Massachusetts,30.3,52.1,59.4,,,,,34.6
Berrien County,Michigan,28.9,66.7,,,,,,34
Genesee County,Michigan,47.2,74.6,68.3,,,,,52.5
Ingham County,Michigan,40.9,95.6,54.9,,,,,44.7
Kalamazoo County,Michigan,25.1,74.2,,,,,,32.5
Kent County,Michigan,16.4,52.2,,,,,,18.4
Macomb County,Michigan,23.9,19.5,,,,,,22.6
Muskegon County,Michigan,44.2,91.6,,,,,,49.3
Oakland County,Michigan,19,38,22.8,,,,,20.5
Saginaw County,Michigan,29.5,58.2,,,,,,35.6
Washtenaw County,Michigan,21.2,45.2,,,,,,22.7
Wayne County,Michigan,47.8,79.6,38.7,,,,36.8,58.9
Dakota County,Minnesota,12.1,32,,,,,,12.9
Hennepin County,Minnesota,25.8,109.8,43.1,10.4,,781.6,76.8,44.5
Olmsted County,Minnesota,28.4,79.7,,,,,,31.1
Ramsey County,Minnesota,27.9,124.8,40.4,,,436.7,79.7,43.1
St. Louis County,Minnesota,27.7,328,,,,251.8,,38.6
Harrison County,Mississippi,44.1,25.6,,,,,,35.1
Hinds County,Mississippi,47.1,16.3,,,,,,25.3
Jackson County,Mississippi,73.2,49.7,,,,,,60.7
Boone County,Missouri,24,103.3,,,,,,29.8
Greene County,Missouri,43.2,107.2,,,,,,42.9
Jackson County,Missouri,39.1,62.6,24.9,,,,53.2,43.8
St. Louis County,Missouri,26.4,57.1,,,,,,32.5
St. Louis city,Missouri,127.2,191.8,,,,,,149
Douglas County,Nebraska,13.6,29.5,,,,,,14.5
Lancaster County,Nebraska,7.7,74.9,,,,,,9.5
Clark County,Nevada,50.5,47.9,19.4,7.3,,,20.7,34.7
Washoe County,Nevada,68.5,201.4,39.9,,,205.7,62.6,63.6
Hillsborough County,New Hampshire,43.2,,33.8,,,,,40.3
Atlantic County,New Jersey,76.4,163.9,28.6,,,,,73.3
Bergen County,New Jersey,15.5,,10.6,,,,,11.8
Burlington County,New Jersey,26.4,22.2,,,,,,23.2
Camden County,New Jersey,50.3,128.4,66,,,,,65.3
Cumberland County,New Jersey,54.2,64.9,33.4,,,,,48.2
Essex County,New Jersey,33.1,81.2,37.9,,,,,50
Gloucester County,New Jersey,28,,41.3,,,,,28
Hudson County,New Jersey,31.3,72.2,21.1,,,,,26.2
Mercer County,New Jersey,24.4,66.6,36.1,,,,,31.5
Middlesex County,New Jersey,35.8,47.1,18,,,,,23.8
Monmouth County,New Jersey,24.8,67,13.3,,,,,24.7
Passaic County,New Jersey,23.6,64.2,23.3,,,,,25.7
Union County,New Jersey,22.4,40.5,22.2,,,,,24.9
Bernalillo County,New Mexico,58.9,104.7,67.2,,,156.6,,67.8
Dona Ana County,New Mexico,32.6,,36.9,,,,,35.8
Otero County,New Mexico,43.3,,43.9,,,,,42.1
Sandoval County,New Mexico,23.9,,15.7,,,,,21.5
San Juan County,New Mexico,39.6,,49.5,,,23.3,,34
Santa Fe County,New Mexico,29.6,,72.7,,,,,53.3
Albany County,New York,31.7,68.1,,,,,,34.8
Bronx County,New York,74.3,80.7,61.3,,,,,67.3
Broome County,New York,42.6,136.1,,,,,,46.7
Chautauqua County,New York,50.6,,121.9,,,,,57.1
Dutchess County,New York,37.7,84.6,,,,,,38.3
Erie County,New York,33.5,95.8,75.5,,,,,43.6
Kings County,New York,23.4,42,45.4,,,,,31.7
Monroe County,New York,39.9,132.3,69.8,,,,,55.3
Nassau County,New York,17.2,31.8,10.1,,,,,15.7
New York County,New York,22.7,110.7,57.4,6.3,,,,43.7
Niagara County,New York,35.7,97.8,,,,,,40.8
Onondaga County,New York,39.1,92.7,,,,,,44.2
Orange County,New York,29,36.8,21.9,,,,,27.6
Queens County,New York,29.8,36.7,22.3,5.9,,,,22.1
Rensselaer County,New York,42.4,97.6,,,,,,44.4
Richmond County,New York,32.7,61.9,28.1,,,,,31.6
Schenectady County,New York,30.3,66.9,,,,,,30.6
Suffolk County,New York,33.5,43.2,25.1,,,,,31.1
Ulster County,New York,30.4,91,,,,,,36.2
Westchester County,New York,14.9,30.2,12.6,,,,,15.2
Buncombe County,North Carolina,55.2,125.6,,,,,,56.7
Craven County,North Carolina,60.5,54.5,,,,,,53.5
Cumberland County,North Carolina,41.8,26,25.1,,,,,31.2
Durham County,North Carolina,23.5,51.3,,,,,,30.1
Forsyth County,North Carolina,53.9,57.7,,,,,,47
Gaston County,North Carolina,55.9,45.7,,,,,,47
Guilford County,North Carolina,34.3,27.6,,,,,,27.7
Mecklenburg County,North Carolina,38.1,49.2,24.2,,,,,36.8
Nash County,North Carolina,48.4,35.4,,,,,,38.6
New Hanover County,North Carolina,37.9,55.8,,,,,,39.2
Onslow County,North Carolina,26.5,34.4,,,,,,24.6
Pitt County,North Carolina,52.5,82.3,,,,,,61.1
Robeson County,North Carolina,68.6,,,,,58,,48
Rowan County,North Carolina,52.7,61.1,,,,,,48.8
Wake County,North Carolina,14,30.3,,,,,,15.5
Wilson County,North Carolina,72.7,55.2,,,,,,59.9
Allen County,Ohio,29.6,83.4,,,,,,34.6
Butler County,Ohio,42.7,45.3,,,,,,38.6
Clark County,Ohio,36.7,116.6,,,,,,41.5
Cuyahoga County,Ohio,50.2,66.6,48.3,,,,,52.3
Franklin County,Ohio,63.7,91.8,44.9,,,,,64.5
Hamilton County,Ohio,52.7,46.7,38.7,,,,,47.9
Lorain County,Ohio,40.7,61.2,40.2,,,,,41.4
